순번,민원제목,민원내용,민원등록일,민원수정일,민원답변일,처리부서,진행상태,구
925,익산시청은 청년들을 위한 지원사업이 부족해보이네요.,오늘은 눈이오고  도로는 촉촉히 젖어있는 춘분이네요~가끔   이 차량을 보는데 이차는 언제 어떤 용도로 사용 하나요?차량번호   94수 7935,2018-03-20,2018-03-20,2018-03-22,민생경제과,처리완료,부안읍
926,익산 배산 벚꽃 잔치 각종 불법에 노출 익산시는 글쎄,3월 30일 금요일 오전 초등생 2학년 남아아이가 등교길에 교통사고가 났습니다.부송 오페라하우스 후문 바로 앞 횡단보도사고인데 불법주차 차량때문에 아이와 운전자가 서로 시야가 가려 사고가난 상황이며 불법추차때문에 횡단보도를 50cm내로 빗겨갔기때문에 횡단보도사고로 인정되지 않는 상황입니다.너무 억울한 상황이며 불법주차 차주에 대해 민사소송을 진행할 예정이며 우선 시에서 이를 처벌해 주시기 바랍니다.사진 첨부합니다.,2018-04-01,2018-04-01,2018-04-03,도로공원과,처리완료,부안읍
927,(SPP-1804-1200426)도로위 불법주차신고합니다 * 첨부파일촬영시간 안내(안,전라북도 부안군 부안읍 동중리 111-1인도 불법주차*  *(1/1) C: 2018/04/11 14:18:28G:  *,2018-04-12,,2018-04-18,건설교통과,처리완료,보안면
928,출산장려금,"지난 번에 올린 제 시민의 소리는 아직도 답변이 없으시네요...작은 생명 한명의 시민의 소리라도 담아 듣고 대답해 주는 곳이 이 게시판 아닙니까??날짜는 미뤄지고 오늘 살처분 한다는 날인데 정말 답답합니다.참사랑 농원 닭들은 잠복기도 한참 지났는데 아무도 죽지도 아프지도 않습니다.단지 다른 농장들 다 살처분 했다고 AI 걸리지도 않은 아이들을 죽이겠다고 하는게 익산시청의 답변인가요??농림축산부에는 익산시청 소관이라하고, 익산시청은 농림축산부 소관이라고 하고 서로 떠넘기면 누가 책임집니까?매년 AI 발생하면 다죽이는게 예방입니까?? 복지농장으로 좋은 환경에서 스트레스 없이 자라면 AI 걸리지 않는거 알지 않습니까?? 제발 가엾은 생명을 죽이지 말고, 방역과, 예방으로 현명하고 지혜롭게 어려움을 이겨나가는 익산시청이 되길 바랍니다.탁상행정이 아니라 닭 죽이고 돈으로 보상해주면 다라는 그런 생각이 아닌, 작은 생명이라도 가능성이 있으면 살처분이 능사가 아니라 이왕이면 같이 사는 방향으로 해주시길 바랍니다.그 닭들이 AI 걸린것도 아니지 않습니까? 아픈애들이 있는것도 아니잖아요??잠복기가 지나고 10일도 더 지났습니다. 재검사하시고, 분변검사에서도 AI 안나오면 살려주세요!!! 제발 부탁드립니다.",2017-04-04,2017-04-04,2017-04-07,여성보육과,처리완료,부안읍
929,(SPP-1707-1700293)마을 소공원 관리부실로 무대가 사용도 못할정도로 위험,"시행 위탁사 : OO건설시행 수탁사 : OO신탁사시공사 : OO건설사업장전북 부안군 부안읍 일원관할승인권자 : 부안군청# 질의요지 1. 아파트 입주자를 모집하려는 경우, [주택공급에 관한 규칙] 제20조에 의거, 입주자모집공고안, 주택분양보증서, 대지등기부등본(소유권확보), 건축공정확인서(착공신고수리) 등의 서류를 갖추어 관할 시·군·구청장의 승인을 받아 진행해야 한다고 명시되어 있습니다.2. 또한 견본주택을 건설하는 경우, [주택법] 제 60조에 의거, 견본주택의 내부에 사용하는 마감자재 및 가구 등은 [주택법] 제15조에 따른 사업계획승인의 내용과 같은 제품으로 시공·설치하여야 한다고 명시되어 있습니다.질의1. 착공신고 수리도 없이 입주자모집 승인 이전 해당사업장의 견본주택을 소비자에게 공개해도 되는지 여부질의2. 승인 이전 견본주택의 공개가 가능하다면 승인되지 않은 내용(마감자재 및 가구, 분양일정, 분양가격 및 사전예약에 따른 예약금수령(첨부 참조) 등)을 불특정 다수의 소비자에게 설명하고 영업활동행위를 해도 되는지 여부질의3. 위와 같은 사전영업활동행위로 인하여 입주자모집 승인 전까지 타 사업장의 개인소비자의 기회비용 상실이 발생할 경우, 내집마련이 꿈인 선량한 서민들에 대한 보상 책임 범위 및 책임대상의 여부질의4. 위의 사항들 중에 불법이 있다면 해당 관련 법률조항이 무엇이며, 그 처벌대상은 시행 위탁사인지 시행 수탁사인지 시공사인지 알려주시기 바랍니다.* 첨부 : 사전예약에 따른 예약금수령증",2017-07-17,,2017-07-24,맑은물사업소,처리완료,부안읍
930,(SPP-1805-2600043)가로등이꺼지지않음 * 첨부파일촬영시간 안내(안전신문고,전라북도 부안군 변산면 대항리 320-3가로등이 연달아 고장입니다.*  *(1/1) C: 2018/04/05 14:04:21G:  *,2018-05-26,,2018-06-05,백산면,처리완료,하서면
931,악취때문에 한여름밤 괴롭다,많은사람이 냄새나는것에대해 민원을 많이넣는걸로알고있습니다그런데 아직도 이 냄새고통에시달립니다 문을열고싶어도 지독한냄새에 문을열수가없습니다이밤에 시원한바람이불어도 문을 닫아야한다니 참....좋은 자연바람을 놔두고 에어컨을 틀어야합니다한시라도 빠른 대처부탁드립니다 여기저기서 하수페처리장이 원인이라던데 원인이나왔으면 얼른 대처해주세요,2016-08-03,2016-08-03,2016-08-04,녹색환경과,처리완료,부안읍
932,익산시 위탁 유기견 시보호소...,제목을 사건이라고 쓸만큼 사진을 찍는작태나유기동물들을 넣어온 뜰창이나비인간적이라는 생각이 드네요이게 익산시의 수준입니까?????뒷모가지를 잡고 막대기로 찌르며 사진찍는 행위모두 동물학대로 보입니다보호소 담당자 변경과 보호소 환경 좀 조금만이라도 개선해주세요!!,2016-11-09,2016-11-09,2016-11-10,축산과,처리완료,부안읍
933,보수공사 요청 등 드립니다.,저는 오산면 외검길에 2016년도 전원주택을 지어 살고있는 주민입니다  우리집 마당에는 소나무와 몇그루의 유실수나무와 화단이있고 벽돌로 쌓아올린 솥걸이가 하나있습니다.솥의 사용용도는 물끓이기 를 주로하고 있으며 땔감은 종이박스와 나무를 사용하고 사용하고 있습니다 그런데 몇일전 솥에 물을 끓이고있는데 시청 환경과에서 왔다고하며 불이타고 있는장면을  사진을찍고 하면서 앞으로는  불을 피우면 안된다하시며 경고하고 돌아갔습니다  시청직원들이 가신다음 곰곰이 생각해보니 황다한 마음이들고 앞으로의생활이 걱정됩니다 시골에 살다보니 매년 나무전지를 해야되고 거기에서 발생되는 나무가지와 잔디를 깍은다음 나오는 부산물은 어떻게 해야할지 걱정이 많이됩니다 시원하고 명쾌한 답을부탁합니다.,2018-04-16,2018-04-16,2018-04-18,도로공원과,처리완료,부안읍
934,익산유기동물보호소,사진을보구  너무  충격적이였습니다 어찌 보호소에서 이런일이 일어날수가있는건가요??  담당기관에서는  왜 가만히 있는건가요??  보호소 소장을 바꿔야할거같은데요  시정조치한다구 될거같지는 않아요  소장하구 직원들교체는 시청에서 할수없는건가요??  방법을알려주시면  그쪽에다시 민원넣구  전화하겠습니다,2016-11-17,2016-11-17,2016-11-21,축산과,처리완료,계화면
935,어양초 8.9차도로 덤프트럭들 주행속도 괜찮은건지,8.9차 앞 도로는 어린이 보호구역으로 알고 있습니다.그런데 학교앞에 주변 공사차량으로 덤프트럭들이  많이 다니네요 제가 볼땐 속도도 빠른것 같구요.지금은 방학이지만 곧 개학을 하면 학생들의 안전이 무척 걱정스럽습니다.아이들의 안전한 학교생활이 될수 있도록 부탁드립니다.,2018-01-24,2018-01-24,2018-01-30,주택과,처리완료,계화면
936,[생활불편신고]장애인 전용주차구역 불법주차,"지금 일요일 새벽 1시 50분인데 새벽되니 갑자기 악취가 납니다.옆 공단에서 나는 냄새인것 같은데, 이제 여름이어서 문열고 자는 사람들이 많을텐데 한밤중에 테러 당하게 생겼네요.화나는건 이게 벌써 한두해 문제가 아니라는 겁니다. 새벽에 악질적으로 악취를 방사하는 업체가 분명 있는데 이부분에대한 강력한 조사가 필요합니다.살기좋은 익산 만든다고 해놓구선 아주 기본적인것도 못하고 있는데 과연 살기 좋아질까요?인구도 줄고 있고... 행정 담당자들은 잘 생각해보길 바랍니다. 이제 이런글 쓰는것도 지겹습니다. 여름철 대대적으로 단속 바라며 처리과정 휴대폰으로 전화바랍니다.",2018-01-07,,2018-01-09,주민행복지원실,처리완료,소태정로
937,어양동 로켈푸드 장애인 주차장,"대확생활중에있어서 뭔가 의미를두고자 아하데이 나눔봉사를 다녀왔습니다봉사는 어르신들을위한 무료국수나눔봉사였고 어르신들,학생들 등등 많은사람들이 찾아주셨는데그리 바쁜시간대가아니였고  처음부터 다 봤습니다딱보아도 높아보이는분 곁으로 여러관계자분들이 허리숙이며 맞이해주며 김치담그기체험천막쪽으로 오시더라구요관계자분들중엔 시청쪽사람도 계셨고 플래시터트리며 잠깐의시간동안 높은분이 김치담그는사진을찍는데,봉사내내보이지않던 스튜디어스복장의봉사자분들도 그 잠깐의시간에만 다수와서  어딘가에 올라갈 사진안을 빛내주시더라구요또한 나눔국수는 장애인,어르신들을위한자리로 일반인들은 직접 줄서서받아가야함에도,반찬은 남기면음식물쓰레기라 정해진 소량을 드리고있는데도가만히앉으셔서 자원봉사자가아닌, 스튜디여스차림의 여성들이 친히 국수가져다주고 김치또한 소량 대량도아닌 김치반포기를 통째로썰어서 드리고, 어르신을위한 공간에오셔서 어르신들에겐 단한장도 드릴께없던 물수건도 한움쿰제공하고 한움쿰남기고 식사하시고 가셨네요 그리고 뒷처리는 자원봉사자가합니다.같이온봉사자들끼리 `보여주기식보여주기식..` 곱씹다보니 가셨고그렇게봉사도중 친구가 눈앞에계신 바람막이에 후줄근하게입고온 여성분이 이번에 국회의원당선된분이라고하는데뒤에 필기하시면서 따라다니시는여성분한명과 옆에한분이렇게 세분이 천막안을 돌아다니시면서저 포함 봉사자들한명한명씩 봉사자분들 정말고생하신다고 악수해주시고 가시더라구요 저는익산사람도아니고 정치에큰관심도없어서 처음 그 남성분도모르고 ,여성국회의원분은 만표차이로 당선되셨다는 것밖에 들어서 모릅니다 . 저 또한 올바르게 매사에 올바르게살진않아도 봉사에 의미를두고왔기때문에 몇시간동안 봉사하는자세로 잇었구요 그런데, 다른곳도아닌 익산의 어느한부분을 대표하시는분이. 노인분들을 위한 자리에와서 잠깐김치담그는 설정샷찍으시고 제복입은여성분들이 서빙해주시는거 앉아서드시고 가시면.저희눈에 그렇게보였는데 거기오신 장애인분들이나 노인분들도 보신분이있을텐데 과연 어떻게보셨을까요설사 이번에당선된 여성국회의원분이 보여주셨던행동또한 마음에서우러나온게아닌행동이었다하더라도극과극의모습을 본것에대해  그 장면을 보지않은 눈 을 사고싶을정도입니다     ",2016-04-13,2016-04-13,2016-04-14,경로장애인과,처리완료,보안면
938,익산시 행정은 법위에 존재하는가?,"진짜 궁금해서 그러는데요주민세 3,000원에서 10,000원으로 인상이 왜 된거죠?물가상승률을 어떻게 적용하면 그렇게 되나요? 성남시는 복지도 늘고 혜택도 늘었다고 하지만 주민세 4,000원으로 똑같다고 하던데익산시는 뭐 있나요? 출산 축하금도 올린다는 기사 냈다가 예산 없어서 작년하고 동일하다던데예산 관리 어떻게 하길래 복지 혜택은 전혀 없이 증세만 있는건가요? 진짜 궁금하네요 ",2016-08-17,2016-08-17,2016-08-18,청소자원과,처리완료,부안읍
939,지목변경 요청,전라북도 부안군 부안읍 서외리 450-14가로수 식재 않된 자리에 벽돌이 놓아있어 밤길 보행자 등 사고 위험이 내재,2017-04-20,,2017-04-27,건설교통과,처리완료,행안면
940,출산지원금,안녕하세요! 동산동 동신아파트 관리사무소 입니다.당 아파트 1동 뒤쪽에 스크린골프장이 있습니다.그러나 날씨가 더워 지면서 창문을 열어놓고 생활하게 되는데늦은시간까지 골프공 치는 소리로 인하여 편안한 휴식을 취하지 못해 민원이 속출하고 있사오니입주민이 편안한 휴식과 취침을 취할수 있도록시청의 단속을 부탁드립니다.수고하세요~,2017-04-04,2017-04-04,2017-04-07,여성보육과,처리완료,진서면
941,중앙선 페인트가 색이 바랬습니다.,: 전라북도 부안군 보안면 상림리 127-1가로등 불이 안들어와요-------------------------------------------------------------------------------------------------------------------------○ .20180328_100946_resized.jpg,2018-03-30,,2018-04-02,건설교통과,처리완료,부안읍
942,오늘 오후 1시 40분쯤에 원대사거리 지나가신 104번 버스 기사님,위치는 북중학교 육교에 위치한 맨홀 주변 아스팔트 파손으로 인해차가 지나갈때 마다 소음이 굉장히 심합니다.깜짝 깜짝 놀랄때가 많습니다.아이가 잠자가다도 놀랍니다.더욱 중요한것은 소음 진동으로 인해 건물도 흔들립니다.큰 차 가 지나갈수록  소음 과 진동이 심합니다.3개월 이상을 참다 올린 글이니...조속한 처리를 바랍니다.,2016-03-11,2016-03-11,,,처리완료,부안읍
943,전주에서 발견되고있는 수달가족 보호대책과 전주시 마스코트 활용방안 제안,전라북도 횡단보도 야간 투광기 설치 관련 제안,2018-06-25,,2018-07-20,기획예산과,처리완료,보안면
944,◈ 정의로운 김제! 외국인과 함께 만들어가는 시책..^^,개별공시지가 열람 및 의견제출시 우수의견 시상 등을 통한 합리적 공시지가 산정방안,2018-08-16,,,정보통신과,처리중,부안읍
945,공동주택 주위 불법투기!!,"안녕하세요?모현동 주공 2차에 살고 있는 주민입니다아파트 분리수거함에 일반적인 분류수거함은 설치되어 있어 어려움은 없습니다그렇지만 형광등, LED등, 건전지 는 특별히 지정된 분리함에 버려야 하는데그렇지 않고 있습니다.시청에서는 아파트 주민들이 환경보존을 위한 형광등, LED등, 건전지를 안전하게 버리기위한 분리수거함을 설치해 주지 않는가요?? 담당 부서에서는 빠른 답변과 설치를 바라겠습니다.   ",2017-06-13,2017-06-13,2017-06-19,청소자원과,처리완료,부안읍
946,전화 지역번호,다른 지역 수영장들은  토 일요일 오리발 사용을 금지하고 있는 상황이고오리발 사고가 빈번히 일으나고 있으므로 사용을 토 일요일은 금지하는 것이 안전에 도움이 될 듯 합니다.항상 오리발 사고가  일어나는데도 개인의 문제로만 바라보는 것 같습니다.비공개 체크를 했는데 (공개) 되는 것은 ??????,2017-06-02,,2017-08-04,회계과,처리완료,서원로
947,꽁당보리축제에 대해,"존경하는 담당자님답답한 마음에 글을 올립니다.!!!!저희는 남편의 200남짓,외벌이로 4아이를 키우고 있습니다.솔직히이번에 나온 장려금을 보고...정말 속상했습니다.작년에 9월출산하였어요. 넷째 장려금이 200이었습니다.그런데.. 이번에 생일도 되기전에 장려금이 100만원씩 3년을 준다고 하는데어이가 없네요...주위사람들도..억울하겠다며 부추기고 민원을 넣어보라고 합니다.아무리 확대하지만...적어도..작년 4월 출생자 부터라도 혜택을 주는게 인지 상정 아닐까 싶습니다.4월이전에 애기 낳은사람은 사람도 아닌가요ㅠㅠ어ㅉㅣ 이런식으로 출산장려를 하십니까나날이 물가가 비싸서고기반찬 해주기도 쉽ㅈㅣ않을정도로물가는 치솟고있습니다.월급은 안오릅니다.,.,전세살고있는데...집값은 어찌나 비싼지.학원비는 왜 이리 비싼지요..그림을 정말 잘그리는 아이지만 지원을 해주지 못하고있습니다출산 장려까지 차별받는 이기분을 어찌 아실까요?납득할수있도록 조치를 부탁드립니다.불과 6개월차이의 아이들은.....아무것도 받지 못합니다.;한둘도 아니고 넷째라 키우기가 녹녹치 않습니다.육아와 가정살림만해도..정신줄이 나갈거 같아..사회생활도 못하고요...이렇다할..자녀 혜택도 없는 상태로...살고 있습니다.최소 1년.이후라도....생일마다..100만원씩 받도록제발!!!4월 4일 이후 출생자들에게도 동일혜택을 주시면 좋겠습니다.!!!!!!! ",2016-05-01,2016-05-01,2016-05-09,농촌지원과,처리완료,하서면
948,목천동 택지개발,<환경오염행위> 부안군행안면에 있는 참프래 닭가공 공장에서 심한악취때문에 생활에 불편을 느끼고 있어 부안군청 축산과에 민원을 제기한봐 악취가 잠깐 멈추었는데 휴일(토 일요일)공무원이 근무를 하지 않을때 악취가 나고 있습니다 이 악취는 지난 수년동안 진행된 사실이며 부안청정지역에서 근본적인 대책이 있어야 될것으로 사료됩니다[ (02-2195-1127~28)],2017-08-22,2017-08-22,2017-08-28,건설과,처리완료,학곤로
949,목소리기부희망,"12/03일 오후 5시 경 101번버스를 동아아파트에서 타고 배스킨라빈스 사거리에서 내렸습니다지갑과 카드들과 사진이 들어있어서 분실 사실을 알고 당장 버스회사 익산여객에 전화를 했으나 일요일이라 그런지 받지 않으셔서 월요일날 신속한 연락을 위하 시청 홈페이지에라도 남깁니다지갑은 흰색, 검정색이 섞인 메트로시티 지갑이고 신분증과 카드, 사진이 들어있습니다",2017-12-01,2017-12-01,2017-12-13,시정에바란다,처리완료,부안읍
950,(SPP-1804-1600157)황색 두줄 실선 불법주차입니다 * 첨부파일촬영시간 안,비닐하우스 관련 재검토 및 검토결과에 따른 처리 요청*스캔 참고,2018-04-16,,2018-04-24,건설교통과,처리완료,부안읍
951,(SPP-1703-2901313)예술회관 가로등 꺼짐,전라북도 부안군 부안읍 동중리 315-1주거단지 앞 파쉐석 방치도로 보행자 안전 위협,2017-03-29,,2017-04-05,문화체육시설사업소,처리완료,부안읍
952,(SPP-1802-0800429)등이 안들어옵니다 * 첨부파일촬영시간 안내(안전신문고,전라북도 부안군 변산면 지서리 387-5가로등고장으로 위험합니다.*  *(1/1) G: 2018/02/08 17:29:32G:  *,2018-02-08,,2018-02-22,변산면,처리완료,변산면
953,익산시는 악취발생지를 더 이상 발생시키지 말아야 한다.,"익산시민의 가장많은 민원이고 시에서도 가장 해결하기 어려운 난점에 있는 악취를 이제는 더 이상 발생시키지 말아야 한다.시홈페이지 시민의 소리 게시판을 보면 도배질을 하는 민원이 악취다. 공업단지를 비롯하여 가축농장등 다발적으로 발생되고 있기도 하며 제가 건의 하고자 하는 것은 (주)태평양과 (유)녹원에서 처리한 하수슬러지를 처리한 쓰레기를 시관내의 청정지역이며 익산시의 보배와 같은 자랑거리기도한 유네스코 문화유산인 미륵사지 인근 익산시 삼기면 기산리 소재 야산에 대한민국 곳곳에서 나온 하수도 찌꺼기를 1차 처리하고 매립하려하는발상에 대한 것이다. 이 처리물에서에서 코를 막고 다녀도 두통과 현기증 나는 악취는 유네스코세계유적지인 미륵사지와 미륵산, 익산시내에 악취를 발생하여 주민들의 주거안정에 막대한 지장을 받고 있다. 익산시는 시민 주거안정과 편안한 휴식공간과 건강, 힐링공간이 되는 미륵산과 문화유적지 미륵사지와 근접한(2Km) 야산에 폐기물 매립하도록 하는 일이 발생되지 않도록 철저한 조사와 이를 차단해 주길 바란다.",2017-08-28,2017-08-28,2017-09-05,청소자원과,처리완료,당산로
954,천천농공단지 인도 도로 정비,전자·전광판현수막 또는 디지털게첨대 활용을 통한 도시미관 등 제고방안,2017-11-02,,2017-11-09,대외협력,처리완료,상서면
955,주현동222-1/222-2,안녕하세요?동산동에 주로 거주하는 시민입니다도보로 보행중 신호등 이용에 불편사항이 있어 시정을 요구합니다익산 동산동 풍성제과 옆 GS25 편의점에서 건너편 미니스톱 편의점(동산초 방향)으로횡단보도로 건너려고 할때 미니스톱 편의점 앞에 최근 SK 통신회사가 세워놓은 통신줄을 지지하는 철재 기둥(은색)이 신호등을 가리고 있어 반대편 GS25 편의점에서 신호등을 보고 건너려고 할때 신호등이 정확히 잘 보이지 않아 교통사고 우려가 있습니다.SK 통신에서 세워놓은 철재 지지대를 다른곳으로 이전하여 횡단보도 이용자들이 안전하게 횡단할 수 있도록 조치를 해주었으면 합니다.,2018-01-01,2018-01-01,2018-01-04,주택과,처리완료,진서면
956,일요일 민원접수 통화가 전혀연결이 안돼네요,당직이라던가 민원실은 주말에 근무안하시나요?,2017-02-19,,2017-02-21,대외협력,처리완료,변산면
957,자동차세 선납고지서관련,"민원인이 민원을 넣으면, 대부분 형식적인 답이 오기 마련이라고 생각했지만 이번엔 다를수도 있을거라 일말의 기대를 했습니다. 미세먼지 저감대책 관련 두 건의 답변을 읽었습니다. 실망입니다.민원 넣는 일, 쉬운 일 아닙니다.형식적으로 붙여넣기 하듯 답변하지 말아주세요민원인의 글에 따라 적절히 해당되는 답을 하는게 온당하다고 봅니다타도에서는 이제 언급도 안하는 너무도 기본인 내용을 저감대책이라고 답변하시면,익산시민의 실망은 어쩌시려구요 ?광범위 하게 질문을 던지니 뻔한 답이 나올수 밖에 없다면작은 질문 하나 던질테니, 답 주세요 ~ + 익산시에 시민의 숲 조성 / 가로수 심기 (큰나무심기) - 황량한 익산시에 나무를 심어주세요 ! 예산 탓 하지 마시고 그거라도 하세요- 있던 나무 더이상 뽑지말고, 없던 곳에 나무 심어주세요 (나무 뽑아버리고 가로분리대 세운 곳도 많습니다. 자연스럽게 나무가 가로분리대 역할을 해주는대도 말입니다. 이건 시정 철학의 문제라고 생각해요)- 시 소유 공터는 무조건 나무로 채워주세요 ~ 익산 초미세 1위의 오명속에서 녹색환경과도 힘드시겠지만, 늘 벽에 대고 이야기하는 기분입니다. 정책을 세우는게 어렵다면, 시민들과 논의하세요.시민의 목소리에 귀 기울이고 좀 더 디테일하고 피부에 와 닿는 정책을 논의하고 실천해보세요~언젠가 전화로 """"나도 세금내는 시민이다""""라고 하셨던 걸 기억합니다그러나 그 이전에 여러분들은 유해환경으로부터 시민의 건강권을 확보해야 하는 녹색환경과 공무원입니다 !  그걸 잊지 말아주세요이번엔 피부에 와 닿는 답변 기다립니다이 답변에 대해 답할 말이 없거든, 지금이라도 환경보건국장님 이하 팀원들이 논의하고 TF팀 구성해서 일 시작하세요 ~ ----------------------------------------------------------------------------(청소과 관련답변에 대해)청소과 단속반의 활동은 잘 알고 있습니다적은 인원으로 최대치의 노력을 하려고 하시는 것두요일단 시민의 목소리에 귀 기울이고 즉각 실행을 하려고 노력하시는 점에 있어서적어도 녹색환경과와는 대비되는 점이 있습니다 다만, 불법소각 계도를 너무 반복하지 마시고, 계도이후 과태료 부과에 집중해주시면 좋겠습니다. 오산, 함열, 함라, 춘포, 낭산 등등 불법소각 심한 농지에 플랑걸기도 건의드렸었는데, 언제가 될지 궁금하군요 ~단속반 증원, 기대합니다",2018-01-25,2018-01-25,2018-01-26,세무과,처리완료,상서면
958,[생활불편신고]장애인 전용주차구역 불법주차,지팰리스아파트건설로 인한 햇빛 가려짐,2017-07-17,,2017-07-21,주민행복지원실,처리완료,부안읍
959,전주 종합경기장 확장 이전에 대한 제언,전주에서 발견되고있는 수달가족 보호대책과 전주시 마스코트 활용방안 제안,2017-06-19,,,기획예산과,처리완료,보안면
960,학곤로 6길 시민들의 소중한 공영주차장을 개인이 점유하지 않도록 막아주세요.,"안녕하세요. 너무 어처구니가 없어 이렇게 글을 올립니다. 다름이 아니오라, 익산터미널 소화물 취급소를 고발하려 합니다. 익산에서 광주편으로 우편물을 발송하려 영업점에 방문하였으나, 운송비 9000원에대해 카드 결제가 무조건 안되니 현금으로 내라면서, 협박아닌 협박과 함께 왜 카드가 안되냐고 물었더니, 결국엔 고객에게 욕설까지 퍼붓더군요.. 익산에 그것도 익산터미널 소화물 취급소라고 그곳 1군데 있으면서, 버저시 간판을 걸고 사업장을 내고 있으면서 카드결제가 안된다는게 말이 됩니까?? 혹시나 하고 전주,군산 쪽을 이용하는 지인에게 물어보니, 그 곳은 모두 카드를 받는다는군요.. 익산만 강제적으로 현금을 요구하면서, 왜 카드가 안되냐고 했더니 그럼 안 보내주겠다 협박하며, 나중에는 욕설까지 하는 이 영업점을 하루빨리 시정조치하여, 저같이 어처구니없는 일이 발생하지 않도록 도움을 요구하는 바입니다.",2017-08-11,2017-08-11,2017-08-21,교통행정과,처리완료,부안읍
961,동부교회 옥탑 엘이디광고등,"2018년 7월 30일 17시 54분에 장신휴먼시아 2단지 정류장으로 도착해서 마지막 정류장으로 가신 전북 72 자 1206 운전기사님 민원 넣습니다.할머니들께서 정류장 헷갈리셔서 보훈지청 반대편 가기 전에 벨을 누르시고 잘못 눌렀다고 미안해요 라고 얘기하셔서 아저씨가 속도 느리게 했다가 다시 출발하셨고 제가 이어폰 끼고있어도 노래를 안틀고 전화통화를 끝낸 참이라 소리를 다 듣고 있었습니다.할머니들께서 다음 정거장이라고 얘기하시고 다시 벨을 누르셨고 제가 벨에 불이 들어온 것과 소리 또한 들었습니다.보훈지청 다음 정류장은 신시가지 파리바게트와 씨유 편의점 맞은 편 의자있는 정류장인 걸 알고 있어서 내려주실 줄 알았는데 이번에도 그냥 지나가시길래 할머니들께서 내려야한다고 왜 지나가시냐고 계속 말하셔서 겨우 멈추셨습니다.(배산휴먼시아 4차 정류장을 지나서 예전에 있었던 정류장(신시가지 배스킨라빈스 건너편, 부영아파트)에서 제가 할머니께서 지금 내리시려고 눌렀는데 아저씨께서 그냥 지나가신거라고 아까는 잘못 눌러서 미안하가고 사과하셨지 않냐고 하니까 그게 사과냐 어쩌냐 하시더니 못들으셨답니다.오른쪽 귀에 이어폰 끼고 가시니까 모르시는 거 아니냐고 따졌더니 혼자 뭐라뭐라 저 쳐다보시면서 화내시길래 그냥 네네~ 이러고 할머니께서 계속 문열어달라고 하셔서 겨우 문 열어드리더라고요.저는 제가 가는 정류장까지 가고 내려서 시간이랑 버스 차 번호 확인하고 민원 작성합니다.",2017-09-27,2017-09-27,2017-09-28,도로공원과,처리완료,하서면
962,[생활불편신고]장애인 전용주차구역 불법주차,"본인은 어제 10.2일 평소 에도 한번씩 다니던 식당 부안 군산식당에 점심 식사를 하기 위해 일행 7명 과 함께 도착 약 1시간 전에 전화로 오늘 점심 백반 됩니까 확인후 가능 하다고 하기에 식사를 할려고 도착 해서 주문을 하니 백반은 않됩니다.종업이 그러면서 비싼 음식만 자꾸 권유 하면서 호객 행위를 하기에 참다가 적당희 비싼걸로 주문했더니 그것 도 사람이 많으니 7인분을 다 시켜야 한다는 식으로 말을 해서 이에 짜증이 나길레 주인을 불러서 이에 항으 하니 미안하다고 하면서 어영군영 얼버무리며 백반을 준다며 옆 같은 식당 으로 가라 하기에 갔더니 주인 아저씨 가 다시 않된다며 ............ 정만 왕 짜증 이더군요.2번이나 장난질을 치는 격. 허위 거짓.이것도 일종에 사기 아닌가요.? 사과도 없이요.사람 대리고 장난 치는 것도 아니고 , 야골리는 것 도 아니고.............올챙이가 개구리적 생각 못한다고 식당이 좀 잘된다고 배불러서 손님이 좀 많으니 비싼 것 만 팔려고 하고 참 국민에 한사람 으로서 어이가 없고 아주 불쾌 하더군요. 다 좋아요. 하지만 손님을 유인 하는 것도 아니고 전화 에약 할때는 가능 하다고 해놓코 와서 보니 딴 소리는 일종에 사기 죄에 해당도 될것 같은데요.""""? 철저한 수사와 엄정한 처벌을 바랍니다.",2017-11-18,,2017-11-27,주민행복지원실,처리완료,하서면
963,TNR수술지원,"익산 가온초등 학교가 올해 개교를 하여 정문을 나와서 오른쪽으로 주공4차 후문앞 신호등이 있는데,그신호등에 어린이 보호구역 카메라도 없고,서행표시도 없고~!!!신호위반 카메라가 없어서 차들이 대부분 10대중에 2,3대는 위반을 하고 갑니다...아이들이 퇴교하여 그신호를 수없이 건너는데 앞에서 지켜보고 있어보면 다들 속도도 50키로 60키로 달리고 더군다나 신호 위반까지 밥먹듯이 하는데,,,이거어찌 부모입장에서 그냥 볼수 있을런지요?담당하시는 관계자 자식들이 그학교를 다니면 맘편히 보내겠나요?조속히 신호위반 카메라와 학교앞 서행,어린이 보호구역표시.....그리고 제한속도 학교앞 설치를 해주시기 바랍니다... 누구라도 사고가 일어나야 설치하실겁니까???조속히 설치 바랍니다~!!!급합니다~!!!둘째까지 그학교를 보내야 하는데 이건정말 실사 가보시면 아실겁니다,,,아이들이 위험합니다~!!! ",2017-04-01,2017-04-01,2017-04-05,축산과,처리완료,부안읍
964,마을숲 나무 가지치기 부탁드립니다.,사계절 문화의 향기를 성산전망대에서!,2017-03-17,,2017-03-21,대외협력,처리완료,상서면
965,축제때 지역 유명인사 패러디와 기념사진 촬영한다,축제때 지역 유명인사 패러디와 기념사진 촬영한다,2016-03-19,,2016-03-24,문화홍보축제실,처리완료,계화면
